,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsProgram,YearsCodedJob,WebDeveloperType,CareerSatisfaction,JobSatisfaction,ProblemSolving,BuildingThings,LearningNewTech,BoringDetails,JobSecurity,DiversityImportant,AnnoyingUI,FriendsDevelopers,RightWrongWay,UnderstandComputers,SeriousWork,InvestTimeTools,WorkPayCare,KinshipDevelopers,ChallengeMyself,CompetePeers,ChangeWorld,JobSeekingStatus,HoursPerWeek,LastNewJob,AssessJobIndustry,AssessJobRole,AssessJobExp,AssessJobDept,AssessJobTech,AssessJobProjects,AssessJobCompensation,AssessJobOffice,AssessJobCommute,AssessJobRemote,AssessJobLeaders,AssessJobProfDevel,AssessJobDiversity,AssessJobProduct,AssessJobFinances,JobProfile,ResumePrompted,LearnedHiring,ImportantHiringAlgorithms,ImportantHiringTechExp,ImportantHiringCommunication,ImportantHiringOpenSource,ImportantHiringPMExp,ImportantHiringCompanies,ImportantHiringTitles,ImportantHiringEducation,ImportantHiringRep,ImportantHiringGettingThingsDone,Currency,Overpaid,TabsSpaces,EducationImportant,SelfTaughtTypes,CousinEducation,WorkStart,HaveWorkedFramework,WantWorkFramework,AuditoryEnvironment,Methodology,VersionControl,CheckInCode,ShipIt,OtherPeoplesCode,ProjectManagement,EnjoyDebugging,InTheZone,DifficultCommunication,CollaborateRemote,EquipmentSatisfiedMonitors,EquipmentSatisfiedCPU,EquipmentSatisfiedRAM,EquipmentSatisfiedStorage,EquipmentSatisfiedRW,InfluenceInternet,InfluenceWorkstation,InfluenceHardware,InfluenceServers,InfluenceTechStack,InfluenceDeptTech,InfluenceVizTools,InfluenceDatabase,InfluenceCloud,InfluenceConsultants,InfluenceRecruitment,InfluenceCommunication,StackOverflowDescribes,StackOverflowSatisfaction,StackOverflowFoundAnswer,StackOverflowCopiedCode,StackOverflowJobListing,StackOverflowCompanyPage,StackOverflowJobSearch,StackOverflowNewQuestion,StackOverflowAnswer,StackOverflowMetaChat,StackOverflowAdsRelevant,StackOverflowAdsDistracting,StackOverflowModeration,StackOverflowCommunity,StackOverflowHelpful,StackOverflowBetter,StackOverflowWhatDo,StackOverflowMakeMoney,HighestEducationParents,SurveyLong,QuestionsInteresting,QuestionsConfusing,InterestedAnswers,Salary,Worked_with_Assembly,Worked_with_C,Worked_with_C#,Worked_with_C++,Worked_with_Clojure,Worked_with_CoffeeScript,Worked_with_Common Lisp,Worked_with_Dart,Worked_with_Elixir,Worked_with_Erlang,Worked_with_F#,Worked_with_Go,Worked_with_Groovy,Worked_with_Hack,Worked_with_Haskell,Worked_with_Java,Worked_with_JavaScript,Worked_with_Julia,Worked_with_Lua,Worked_with_Matlab,Worked_with_Objective-C,Worked_with_PHP,Worked_with_Perl,Worked_with_Python,Worked_with_R,Worked_with_Ruby,Worked_with_Rust,Worked_with_SQL,Worked_with_Scala,Worked_with_Smalltalk,Worked_with_Swift,Worked_with_TypeScript,Worked_with_VB.NET,Worked_with_VBA,Worked_with_Visual Basic 6,Want_work_Assembly,Want_work_C,Want_work_C#,Want_work_C++,Want_work_Clojure,Want_work_CoffeeScript,Want_work_Common Lisp,Want_work_Dart,Want_work_Elixir,Want_work_Erlang,Want_work_F#,Want_work_Go,Want_work_Groovy,Want_work_Hack,Want_work_Haskell,Want_work_Java,Want_work_JavaScript,Want_work_Julia,Want_work_Lua,Want_work_Matlab,Want_work_Objective-C,Want_work_PHP,Want_work_Perl,Want_work_Python,Want_work_R,Want_work_Ruby,Want_work_Rust,Want_work_SQL,Want_work_Scala,Want_work_Smalltalk,Want_work_Swift,Want_work_TypeScript,Want_work_VB.NET,Want_work_VBA,Want_work_Visual Basic 6,Uses_Android Studio,Uses_Atom,Uses_Coda,Uses_Eclipse,Uses_Emacs,Uses_IPython / Jupyter,Uses_IntelliJ,Uses_Komodo,Uses_Light Table,Uses_NetBeans,Uses_Notepad++,Uses_PHPStorm,Uses_PyCharm,Uses_RStudio,Uses_RubyMine,Uses_Sublime Text,Uses_TextMate,Uses_Vim,Uses_Visual Studio,Uses_Visual Studio Code,Uses_Xcode,Uses_Zend,DevType_Data scientist,DevType_Database administrator,DevType_Desktop applications developer,DevType_DevOps specialist,DevType_Developer with a statistics or mathematics background,DevType_Embedded applications/devices developer,DevType_Graphic designer,DevType_Graphics programming,DevType_Machine learning specialist,DevType_Mobile developer,DevType_Other,DevType_Quality assurance engineer,DevType_Systems administrator,DevType_Web developer,IsImportantBenefit_Annual bonus,IsImportantBenefit_Charitable match,IsImportantBenefit_Child/elder care,IsImportantBenefit_Education sponsorship,IsImportantBenefit_Equipment,IsImportantBenefit_Expected work hours,IsImportantBenefit_Health benefits,IsImportantBenefit_Long-term leave,IsImportantBenefit_Meals,IsImportantBenefit_None of these,IsImportantBenefit_Other,IsImportantBenefit_Private office,IsImportantBenefit_Professional development sponsorship,IsImportantBenefit_Remote options,IsImportantBenefit_Retirement,IsImportantBenefit_Stock options,IsImportantBenefit_Vacation/days off,Gender_Female,Gender_Gender non-conforming,Gender_Male,Gender_Other,Gender_Transgender,Race_Black or of African descent,Race_East Asian,Race_Hispanic or Latino/Latina,Race_I don’t know,Race_I prefer not to say,Race_Middle Eastern,"Race_Native American, Pacific Islander, or Indigenous Australian",Race_South Asian,Race_White or of European descent,Uses_StackOverflow_in_Android app,Uses_StackOverflow_in_Android browser,Uses_StackOverflow_in_Desktop,Uses_StackOverflow_in_Other phone browser,Uses_StackOverflow_in_iOS app,Uses_StackOverflow_in_iOS browser,MetricAssess__Benchmarked product performance,MetricAssess__Bugs found,MetricAssess__Commit frequency,MetricAssess__Customer satisfaction,MetricAssess__Hours worked,MetricAssess__Lines of code,MetricAssess__Manager's rating,MetricAssess__On time/in budget,MetricAssess__Other,MetricAssess__Peers' rating,MetricAssess__Release frequency,MetricAssess__Revenue performance,MetricAssess__Self-rating,Education_Bootcamp,Education_Coding competition,Education_Hackathon,Education_Industry certification,Education_On-the-job training,Education_Online course,Education_Open source contributions,Education_Part-time/evening course,Education_Self-taught
4310,"Yes, I program as a hobby",Albania,No,Employed full-time,Master's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",100 to 499 employees,"Privately-held limited company, not in startup mode",4 to 5 years,2 to 3 years,,6.0,7.0,,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",0.0,Less than a year ago,Important,Somewhat important,Important,Important,Somewhat important,Important,Important,Not very important,,Somewhat important,Not very important,Very important,Not very important,Somewhat important,Somewhat important,,,,,,,,,,,,,,Euros (€),Neither underpaid nor overpaid,Both,Important,Official documentation; Textbook; Stack Overflow Docs; Non-Stack online communities,,9:00 AM,Cordova,,Turn on some music,,I don't use version control,A few times a month,Disagree,Somewhat agree,Somewhat agree,Disagree,Agree,Disagree,Disagree,Not very satisfied,Somewhat satisfied,Somewhat satisfied,Not at all satisfied,Very satisfied,Satisfied,,,,,,,,,,,,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",7.0,At least once each week,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Haven't done at all,Haven't done at all,Somewhat agree,Disagree,Disagree,Somewhat agree,Agree,Agree,Disagree,Disagree,A master's degree,Agree,Somewhat agree,Disagree,Somewhat agree,172043.01075268802,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4400,"Yes, I program as a hobby",United Kingdom,No,Employed full-time,Bachelor's degree,Computer science or software engineering,A few days each month,10 to 19 employees,"Privately-held limited company, not in startup mode",20 or more years,20 or more years,,8.0,5.0,Agree,Agree,Agree,Disagree,Agree,Somewhat agree,Agree,Somewhat agree,Disagree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Disagree,Disagree,"I'm not actively looking, but I am open to new opportunities",1.0,Between 2 and 4 years ago,Not very important,Not very important,Somewhat important,Not very important,Somewhat important,Somewhat important,Important,Somewhat important,Very important,Important,Somewhat important,Not at all important,Not at all important,Not very important,Not very important,,,,,,,,,,,,,,British pounds sterling (£),Somewhat underpaid,Spaces,Very important,Official documentation; Trade book; Stack Overflow Q&A,Get a job as a QA tester; Take online courses; Part-time/evening courses; Buy books and work through the exercises,9:00 AM,,,Keep the room absolutely quiet,Waterfall,Zip file back-ups,Multiple times a day,Somewhat agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Disagree,Agree,,,,,,,,,,,,,,,,,,I have created a CV or Developer Story on Stack Overflow,8.0,Several times,Once or twice,Haven't done at all,Haven't done at all,At least once each week,Once or twice,At least once each week,Several times,Disagree,Somewhat agree,Disagree,Somewhat agree,Agree,Agree,,Disagree,High school,Disagree,Somewhat agree,Agree,Agree,43750.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
4480,"Yes, I program as a hobby",Netherlands,No,Employed full-time,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",7 to 8 years,4 to 5 years,Full stack Web developer,7.0,5.0,,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",1.0,Less than a year ago,Important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Important,Somewhat important,Important,Very important,Not very important,Somewhat important,Important,,,,,,,,,,,,,,Euros (€),Somewhat underpaid,Tabs,Somewhat important,Official documentation; Trade book; Textbook; Stack Overflow Q&A; Stack Overflow Docs,,8:00 AM,Node.js; Cordova; Xamarin; .NET Core,.NET Core,Turn on some music,Agile; Scrum; Pair,Git,Multiple times a day,Disagree,Strongly agree,Disagree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Satisfied,Satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Not very satisfied,A lot of influence,A lot of influence,A lot of influence,I am the final decision maker,A lot of influence,I am the final decision maker,A lot of influence,A lot of influence,Some influence,Some influence,A lot of influence,I have created a CV or Developer Story on Stack Overflow,9.0,Several times,Once or twice,Several times,Once or twice,Once or twice,Haven't done at all,Once or twice,Haven't done at all,Somewhat agree,Somewhat agree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Disagree,High school,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,38709.6774193548,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1
4481,"Yes, I program as a hobby",Spain,No,Employed full-time,Some college/university study without earning a bachelor's degree,Computer programming or Web development,A few days each month,"10,000 or more employees","Privately-held limited company, not in startup mode",4 to 5 years,2 to 3 years,,6.0,4.0,,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",4.0,Less than a year ago,Not very important,Very important,Not very important,Very important,Not at all important,Somewhat important,Important,Important,Somewhat important,Somewhat important,Somewhat important,Very important,Not at all important,Important,Somewhat important,LinkedIn,A recruiter contacted me,Some other way,Important,Important,Somewhat important,Somewhat important,Important,Not very important,Important,Not very important,Not very important,Important,Euros (€),Greatly underpaid,Tabs,Somewhat important,,,8:00 AM,AngularJS; Node.js; Cordova,,Turn on some music,Agile; Scrum,Git,A few times a week,Disagree,Somewhat agree,Disagree,Somewhat agree,Agree,Strongly disagree,Agree,,,,,,,,,,,,,,,,,,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",10.0,At least once each day,Haven't done at all,Several times,Haven't done at all,Once or twice,Haven't done at all,Several times,Once or twice,Somewhat agree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,A bachelor's degree,Somewhat agree,Agree,Strongly disagree,Strongly agree,15053.7634408602,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
4573,"Yes, I contribute to open source projects",Poland,No,Employed full-time,Some college/university study without earning a bachelor's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",11 to 12 years,7 to 8 years,,9.0,10.0,,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",1.0,Between 1 and 2 years ago,Somewhat important,Somewhat important,Important,Somewhat important,Important,Very important,Very important,Very important,Somewhat important,Important,Very important,Very important,Important,Important,Important,LinkedIn,I was just giving it a regular update,"A friend, family member, or former colleague told me",Important,Important,Important,Important,Important,Important,Somewhat important,Somewhat important,Not at all important,Important,Polish zloty (zl),Somewhat underpaid,Spaces,Not very important,Official documentation; Trade book; Non-Stack online communities; Company internal community; Friends network; Built-in help,,10:00 AM,Node.js; React,Node.js; React,Turn on some music,Agile; Lean; Scrum; Kanban,Git,Multiple times a day,Somewhat agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,,,,,,,,,,,,,,,,,,I have created a CV or Developer Story on Stack Overflow,5.0,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,"Some college/university study, no bachelor's degree",Agree,Agree,Disagree,Strongly agree,2148.14814814815,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
4587,"Yes, I program as a hobby",Germany,No,Employed full-time,Master's degree,A non-computer-focused engineering discipline,Never,100 to 499 employees,"Sole proprietorship or partnership, not in startup mode",15 to 16 years,3 to 4 years,,7.0,6.0,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Disagree,Strongly agree,Agree,Agree,Strongly disagree,Disagree,Agree,Somewhat agree,Agree,"I'm not actively looking, but I am open to new opportunities",4.0,Between 2 and 4 years ago,Important,Somewhat important,Somewhat important,Very important,Important,Important,Important,Very important,Important,Somewhat important,Somewhat important,Important,Important,Somewhat important,Somewhat important,,,,,,,,,,,,,,Euros (€),Somewhat underpaid,Tabs,Not very important,Official documentation; Stack Overflow Q&A; Non-Stack online communities; Company internal community; Built-in help,Take online courses; Conferences/meet-ups,9:00 AM,.NET Core,,Turn on some music,Waterfall,I use some other system,Multiple times a day,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Disagree,Somewhat agree,,,,,,,,,,,,,,,,,,I have created a CV or Developer Story on Stack Overflow,9.0,Several times,Several times,Several times,Several times,Several times,Once or twice,At least once each day,Haven't done at all,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Disagree,High school,Agree,Agree,Somewhat agree,Disagree,45161.29032258059,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
4632,"Yes, both",Poland,No,Employed full-time,Master's degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",16 to 17 years,10 to 11 years,,8.0,7.0,,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",4.0,Between 1 and 2 years ago,Not very important,Not very important,Important,Not very important,Important,Very important,Very important,Important,Very important,Very important,Important,Very important,Not at all important,Somewhat important,Somewhat important,LinkedIn,I was just giving it a regular update,A general-purpose job board,Very important,Important,Very important,Very important,Not very important,Somewhat important,Not very important,Not very important,Somewhat important,Very important,Polish zloty (zl),Somewhat underpaid,Spaces,Not very important,Official documentation; Stack Overflow Q&A; Stack Overflow Docs; Non-Stack online communities; Built-in help,,10:00 AM,,,Keep the room absolutely quiet,Agile; Lean; Scrum; Extreme; Pair; Domain-driven design,Git,Multiple times a day,Somewhat agree,Disagree,Strongly agree,Agree,Strongly agree,Somewhat agree,Disagree,,,,,,,,,,,,,,,,,,I have created a CV or Developer Story on Stack Overflow,8.0,Several times,Haven't done at all,Once or twice,Haven't done at all,Once or twice,Once or twice,Several times,Once or twice,Disagree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Disagree,Somewhat agree,A master's degree,Agree,Somewhat agree,Disagree,Strongly agree,37037.037037037,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1
4667,"Yes, I program as a hobby",France,No,Employed full-time,Bachelor's degree,Computer science or software engineering,Never,Fewer than 10 employees,"Sole proprietorship or partnership, not in startup mode",6 to 7 years,3 to 4 years,,5.0,5.0,,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",0.0,Between 2 and 4 years ago,Somewhat important,,Important,Very important,Somewhat important,Important,Somewhat important,,,,,,,,,,,,,,,,,,,,,,Euros (€),Somewhat underpaid,Tabs,Not at all important,Trade book; Textbook; Stack Overflow Q&A; Stack Overflow Docs; Non-Stack online communities; Friends network; Built-in help,Return to college; Master's degree; Take online courses; Buy books and work through the exercises,11:00 AM,,,Turn on some music,Agile; Scrum; Kanban; Evidence-based SWE,Subversion,A few times a week,Disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Disagree,Somewhat agree,Satisfied,Satisfied,Satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Some influence,Some influence,Not much influence,Some influence,Some influence,Some influence,Some influence,Some influence,No influence at all,No influence at all,Some influence,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",8.0,At least once each week,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Haven't done at all,Strongly disagree,Somewhat agree,Disagree,Somewhat agree,Agree,Agree,Disagree,Disagree,A professional degree,Somewhat agree,Somewhat agree,Disagree,Strongly agree,30967.7419354839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
4690,"Yes, I program as a hobby",Poland,No,Employed full-time,Master's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,10 to 11 years,7 to 8 years,Full stack Web developer,7.0,6.0,Agree,Agree,,Disagree,,Agree,Strongly agree,Disagree,Disagree,Disagree,Somewhat agree,Agree,Disagree,,Agree,Strongly disagree,Somewhat agree,"I'm not actively looking, but I am open to new opportunities",1.0,More than 4 years ago,Not very important,Very important,Important,Very important,Important,Important,Somewhat important,Important,Not very important,Somewhat important,Important,Important,Not very important,Very important,Not very important,,,,,,,,,,,,,,Polish zloty (zl),Somewhat underpaid,Spaces,Important,Official documentation; Trade book; Textbook; Stack Overflow Q&A; Non-Stack online communities; Tutoring/mentoring; Friends network,,9:00 AM,Node.js,Node.js,Turn on the news or talk radio,Waterfall; Agile; Lean; Scrum; Pair; Kanban,Git,Multiple times a day,Agree,Somewhat agree,Disagree,Somewhat agree,Disagree,Disagree,Agree,,,,,,,,,,,,,,,,,,"I've visited Stack Overflow, but haven't logged in/created an account",7.0,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Somewhat agree,Disagree,High school,Agree,Somewhat agree,Disagree,Agree,28395.061728395096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
4708,"Yes, I program as a hobby",United Kingdom,No,Employed full-time,Bachelor's degree,Computer science or software engineering,Never,10 to 19 employees,"Privately-held limited company, not in startup mode",7 to 8 years,2 to 3 years,,7.0,7.0,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Disagree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Strongly agree,"I'm not actively looking, but I am open to new opportunities",2.0,Less than a year ago,Not very important,Important,Important,Not very important,Important,Somewhat important,Very important,Somewhat important,Important,Not very important,Not very important,Important,Not at all important,Not very important,Important,,,,,,,,,,,,,,British pounds sterling (£),Somewhat underpaid,Both,Somewhat important,Official documentation; Trade book; Textbook; Other,,9:00 AM,AngularJS; .NET Core,Hadoop; Node.js; Xamarin; .NET Core,"Put on some ambient sounds (e.g. whale songs, forest sounds)",Waterfall; Agile; Scrum; Extreme; Kanban,Team Foundation Server,Multiple times a day,Disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Disagree,Agree,,,,,,,,,,,,,,,,,,"I've visited Stack Overflow, but haven't logged in/created an account",10.0,At least once each week,Haven't done at all,Once or twice,Haven't done at all,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Somewhat agree,Disagree,Disagree,Somewhat agree,Agree,Strongly agree,Agree,Disagree,High school,Disagree,Somewhat agree,Disagree,Strongly agree,37500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
